id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
6793,Daniil Lesovoy,Arsenal Tula,0.0201,0.0313,0.012,1.2827,0.0853,0.0,-,-,-,-,-,-,-,-,-,-,0.2024,-,1.6338
2414,Grzegorz Krychowiak,Lokomotiv Moscow,0.1433,0.0501,0.1181,0.0464,0.4797,-,0.0089,0.0905,-,0.1024,0.3247,0.062,-,0.0,0.0,0.0709,0.105,-,1.602
7283,Daniil Utkin,FC Krasnodar,0.1649,0.0977,0.0232,0.0,0.1124,0.1001,-,0.4177,0.39,0.0,0.0176,0.1121,0.0942,0.0,0.0583,0.0,-,-,1.5882
7648,Tonny Vilhena,FC Krasnodar,-,-,-,0.1093,0.053,0.0621,-,0.4971,0.0,0.4731,0.035,0.0563,-,0.0164,0.1365,0.0364,0.0352,-,1.5104
5924,Sebastián Driussi,Zenit St. Petersburg,0.7814,0.0,0.0772,0.0,0.1306,-,-,-,-,-,0.0,0.4098,-,-,-,0.0967,0.0,-,1.4957
960,Clinton N'Jie,Dinamo Moscow,0.1246,0.1562,0.1119,0.039,-,0.1103,0.0766,0.2062,0.0,0.0734,0.0629,0.0268,-,0.4009,0.105,-,0.0,-,1.4938
5442,Ivan Oblyakov,CSKA Moscow,0.103,0.0601,0.0123,0.1006,0.0142,0.0148,0.1155,0.0986,0.0592,0.0,0.0134,0.3372,0.0,0.4201,0.0,0.0989,0.0301,-,1.478
8985,Marko Dugandzic,PFC Sochi,-,-,-,-,-,-,-,-,-,-,0.0543,0.0,-,-,0.0,0.0,1.4187,-,1.473
8342,Ilia Shkurin,CSKA Moscow,-,0.6883,0.0,0.0,-,-,-,-,-,-,-,-,-,0.0,-,0.0,0.7793,-,1.4676
2910,Vyacheslav Krotov,FC Ufa,0.0708,0.057,0.0,0.0,-,0.0,-,-,-,0.1362,0.1003,0.0495,0.0793,0.0,0.0489,0.7822,0.1162,-,1.4404
5385,Mikhail Kostyukov,FC Tambov,0.0667,0.0903,0.0562,0.0,0.3418,0.1197,0.4137,0.0517,0.0,0.1811,0.0342,0.0135,-,0.0,0.0393,0.0,-,-,1.4082
2775,Dmitriy Poloz,PFC Sochi,0.8386,0.1006,0.0,-,-,-,-,-,-,0.4598,-,-,-,-,-,-,-,-,1.399
7136,Arnór Sigurdsson,CSKA Moscow,0.1454,0.1157,0.0,0.2296,0.0243,-,-,0.0809,0.1046,0.0,-,0.1096,0.3653,0.0601,0.1031,0.0536,-,-,1.3922
8360,Darko Jevtic,Rubin Kazan,0.0533,0.0,0.0,0.0364,0.0399,0.0,0.0912,0.0946,-,0.0894,-,0.1286,0.8511,-,0.0,0.0,0.0,-,1.3845
2818,Zé Luís,Lokomotiv Moscow,-,-,-,-,-,-,-,-,-,-,0.2113,0.0,0.0441,0.5054,0.5638,0.0592,-,-,1.3838
4695,Arshak Koryan,Khimki,0.0443,0.0816,0.1067,0.079,0.0,0.0,0.2172,0.7798,-,-,-,-,-,0.0429,-,0.0213,-,-,1.3728
2834,Giorgi Jikia,Spartak Moscow,0.0,0.0,0.5552,0.0,0.0546,0.0,0.0209,0.0,0.0493,0.0,-,0.0,0.0,0.5283,0.0,0.1113,0.049,-,1.3686
2974,Vladimir Dyadyun,Khimki,0.1425,0.0485,0.0559,-,-,-,0.0,0.0,0.3128,0.5126,0.1241,0.0,0.0,0.0,0.0494,0.1105,-,0.0085,1.3648
7659,Vladimir Obukhov,FC Tambov,0.0,0.0932,0.7543,0.0576,0.0598,0.0,0.0,0.1191,0.269,-,-,-,-,-,-,-,-,-,1.353
963,Eder,Lokomotiv Moscow,-,-,0.0,0.4769,0.163,0.094,0.0,0.113,0.1696,0.038,0.0,0.063,0.0,-,0.0,0.2005,0.0,-,1.318
5538,Vyacheslav Karavayev,Zenit St. Petersburg,0.0188,0.0,0.0377,0.0659,0.0,0.0,0.1897,0.0,0.0,0.3947,0.5552,0.0,0.0,0.0,0.0537,-,-,-,1.3157
8601,Artem Polyarus,Khimki,0.1813,0.0466,0.1205,0.8749,0.0,0.0445,0.0478,0.0,-,-,-,-,-,-,-,-,-,-,1.3156
8626,Nikola Moro,Dinamo Moscow,-,-,0.0,0.0,0.0,0.0,0.0,0.0205,0.155,0.0562,0.0642,-,-,0.0507,0.0698,0.7543,0.1213,-,1.292
3025,Alexander Troshechkin,Khimki,0.0442,0.4913,0.1139,0.0272,0.0,0.1778,-,0.0292,0.0,0.0618,0.0698,0.0528,0.0276,0.0728,0.0862,0.0129,0.0,0.0143,1.2818
8359,Oliver Abildgaard,Rubin Kazan,0.0774,0.0168,0.0247,0.0116,0.0099,0.2937,0.0,0.4063,0.1278,0.0665,0.0099,-,0.0267,0.0924,0.0462,0.0485,0.0129,-,1.2713
7183,Daniil Khlusevich,Arsenal Tula,0.0,0.0221,0.0898,0.0,0.0624,0.3306,0.0425,0.0,0.0912,0.0,0.0,0.0,0.0,0.0,0.1094,-,-,0.522,1.27
8601,Artem Polyarus,FK Akhmat,-,-,-,0.8749,-,-,-,-,-,0.1,0.0767,-,0.0928,0.0786,0.0,0.0,0.0413,-,1.2643
7479,Kristoffer Olsson,FC Krasnodar,0.0158,0.0826,0.0128,0.0,0.0467,0.1007,-,0.1882,0.0327,-,0.7331,-,0.0,0.0,0.0,0.0208,-,-,1.2334
8634,Hwang In-Beom,Rubin Kazan,-,-,-,0.0,0.0562,0.0,0.0967,-,0.1378,0.3156,0.4602,0.0,0.0898,0.0417,-,0.0,0.0258,-,1.2238
1811,Andrés Ponce,FK Akhmat,0.0,0.0712,0.8445,0.0144,0.0165,0.0459,0.2134,0.0,-,0.0,-,-,-,-,-,-,-,-,1.2059
7656,Ivan Miladinovic,PFC Sochi,0.039,0.0,0.5351,0.0166,0.0,0.0428,-,-,0.0,0.0,0.3535,0.0,0.0,0.0,0.1511,0.0414,-,-,1.1795
8607,Adolfo Gaich,CSKA Moscow,0.4423,0.0,0.0,0.213,0.0,-,-,-,0.0,-,0.0,0.0,0.0,0.4686,0.0,0.0517,-,-,1.1756
2750,Roman Zobnin,Spartak Moscow,0.0,0.0623,0.0357,0.0,0.1083,0.0,0.0184,0.0,0.0156,0.0,0.0,0.0141,0.0249,0.0119,0.865,0.0,-,-,1.1562
7011,Lovro Bizjak,FC Ufa,-,0.9398,-,0.0,0.0,-,0.0,0.0348,0.0994,0.0698,-,-,-,-,-,-,-,-,1.1438
3062,Oleg Shatov,Rubin Kazan,-,-,-,0.0,0.0517,0.0,0.0326,0.052,0.8788,0.0,0.0644,0.0,-,0.0291,0.0,0.018,0.0,-,1.1266
