team,pos,fpl_first_name,fpl_last_name,fpl_web_name,start_cost,now_cost,FPL_ID,Understat_ID
West Ham,M,Manuel,Lanzini,Lanzini,6.5,6.4,439,535
West Ham,M,Felipe Anderson,Pereira Gomes,Felipe Anderson,6.5,6.1,440,1208
West Ham,F,Sébastien,Haller,Haller,6.5,6.1,441,6144
West Ham,D,Arthur,Masuaku,Masuaku,4.5,4.3,442,1760
West Ham,D,Fabián,Balbuena,Balbuena,4.5,4.3,443,6892
West Ham,F,Jordan,Hugill,Hugill,5.5,5.5,444,6526
West Ham,M,Jarrod,Bowen,Bowen,6.5,6.2,445,1776
West Brom,M,Grady,Diangana,Diangana,5.5,5.0,446,6651
West Ham,F,Albian,Ajeti,Ajeti,5.5,5.5,447,2673
West Ham,M,Declan,Rice,Rice,5,4.8,448,5553
West Ham,M,Tomas,Soucek,Soucek,5,5.4,449,8288
West Ham,M,Pablo,Fornals,Fornals,6.5,6.0,450,2335
West Ham,D,Issa,Diop,Diop,4.5,4.3,451,3203
West Ham,D,Ben,Johnson,Johnson,4,3.9,452,6424
Wolves,G,John,Ruddy,Ruddy,4.5,4.3,453,785
Wolves,M,João Filipe Iria,Santos Moutinho,Moutinho,5.5,5.2,454,3422
Wolves,G,Rui Pedro,dos Santos Patrício,Patrício,5.5,5.4,455,6849
