id,name,team,1,2,3,total
7808,Marek Suchy,Augsburg,-,0.0,-,0.0
6496,Ermedin Demirovic,Freiburg,-,0.0,-,0.0
5625,Kwon Chang-Hoon,Freiburg,0.0,0.0,0.0,0.0
5292,Manuel Gulde,Freiburg,0.0,0.0,0.0,0.0
5265,Amir Abrashi,Freiburg,0.0,-,-,0.0
5263,Lukas Kübler,Freiburg,0.0,-,0.0,0.0
8083,Noah Katterbach,FC Cologne,0.0,-,-,0.0
7918,Daishawn Redan,Hertha Berlin,-,0.0,-,0.0
2693,Marius Wolf,FC Cologne,-,-,0.0,0.0
427,Marco Höger,FC Cologne,0.0,-,0.0,0.0
8878,Atakan Karazor,VfB Stuttgart,-,-,0.0,0.0
135,Yuya Osako,Werder Bremen,0.0,0.0,-,0.0
8869,Ragnar Ache,Eintracht Frankfurt,-,0.0,0.0,0.0
330,Ralf Fährmann,Schalke 04,0.0,0.0,0.0,0.0
2624,Djibril Sow,Eintracht Frankfurt,-,0.0,-,0.0
8958,Reinhold Yabo,Arminia Bielefeld,-,-,0.0,0.0
