id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,total
7879,Marius Bülter,Union Berlin,1,0,0,0,0,0,-,-,0,0,0,0,0,-,0,0,0,0,0,-,-,0,0,0,0,0,1
6326,Ibrahima Konaté,RasenBallsport Leipzig,-,-,-,-,0,-,1,0,0,0,-,0,-,-,-,-,-,-,-,-,0,0,-,0,-,-,1
6963,Justin Kluivert,RasenBallsport Leipzig,-,-,-,0,0,-,-,0,-,1,0,0,-,-,-,0,-,0,0,-,-,0,0,-,0,-,1
7352,Tyler Adams,RasenBallsport Leipzig,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,-,0,1,0,0,0,0,0,0,0,0,1
7501,Amadou Haidara,RasenBallsport Leipzig,1,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,1
8853,Maxence Lacroix,Wolfsburg,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1,0,-,0,1
7783,Xaver Schlager,Wolfsburg,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,1
140,Yannick Gerhardt,Wolfsburg,0,0,0,0,0,0,0,-,-,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6147,Denis Zakaria,Borussia M.Gladbach,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,0,-,0,1
3349,Ramy Bensebaini,Borussia M.Gladbach,0,0,0,0,-,0,0,-,-,-,-,-,-,0,0,0,0,1,0,0,0,0,0,0,-,0,1
315,Matthias Ginter,Borussia M.Gladbach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206,Oscar Wendt,Borussia M.Gladbach,0,0,-,0,0,0,-,0,1,0,0,0,-,0,0,-,0,-,-,0,-,-,0,-,0,-,1
161,Robin Knoche,Union Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
