id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,total
8289,Gastón Pereiro,Cagliari,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3,1,-,4
8912,Tommaso Pobega,Spezia,0,0,0,-,1,0,2,0,-,-,0,0,-,-,0,1,0,4
1281,Giuseppe Pezzella,Parma Calcio 1913,1,-,0,1,2,0,0,0,-,-,-,0,-,-,-,0,-,4
9104,Juan Brunetta,Parma Calcio 1913,-,-,-,-,-,-,0,0,-,0,-,0,-,3,1,-,-,4
4939,Alessandro Bastoni,Inter,1,-,0,-,0,-,1,0,1,0,0,0,0,0,1,0,0,4
7912,Eljif Elmas,Napoli,0,1,-,-,0,0,0,0,0,-,0,0,3,0,0,0,-,4
7937,Julian Chabot,Spezia,0,0,0,0,1,0,0,0,1,0,1,0,-,0,0,-,1,4
2116,Felipe Caicedo,Lazio,0,1,-,0,-,0,0,0,0,0,1,0,0,-,0,2,0,4
1206,Danilo Cataldi,Lazio,0,0,-,0,-,0,1,-,0,-,-,0,0,3,-,0,0,4
542,Pedro Obiang,Sassuolo,1,0,0,0,-,0,0,0,0,1,-,2,0,0,0,0,0,4
1542,Stefan Radu,Lazio,0,1,0,-,-,-,0,0,0,0,0,1,0,1,0,0,1,4
6211,Mehdi Leris,Sampdoria,1,-,1,1,0,0,0,-,-,0,-,1,-,0,0,0,0,4
1140,Danilo,Bologna,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4
1264,Edoardo Goldaniga,Genoa,1,0,0,0,0,0,-,1,0,0,0,2,0,-,-,0,-,4
6464,Adrien Silva,Sampdoria,-,-,-,1,-,1,0,2,0,0,-,0,0,0,-,0,-,4
5028,Gianluca Frabotta,Juventus,0,0,0,0,0,0,-,2,-,-,-,-,0,0,1,1,-,4
1030,Fernando Forestieri,Udinese,0,2,0,0,1,0,-,-,0,-,-,-,-,1,0,-,-,4
6303,Marvin Zeegelaar,Udinese,0,0,-,-,-,-,0,0,0,0,1,0,2,1,0,0,-,4
1296,Stefano Sturaro,Genoa,-,-,-,-,-,-,-,0,1,1,0,1,1,-,-,-,-,4
6750,Gonzalo Villar,Roma,0,-,0,0,0,-,0,1,0,0,1,0,0,0,0,0,2,4
6971,Mitchell Dijks,Bologna,1,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,0,4
5226,Walace,Udinese,-,-,-,-,0,-,-,-,0,0,-,1,1,0,1,1,-,4
922,Andreas Pereira,Lazio,-,-,-,-,0,0,0,0,0,0,1,1,0,0,0,-,2,4
9002,Vedat Muriqi,Lazio,-,-,-,2,0,0,0,-,-,-,-,-,1,0,0,0,-,3
6981,Ismael Bennacer,AC Milan,0,0,0,0,1,0,1,1,-,-,0,-,-,-,-,-,-,3
1624,Fabio Depaoli,Atalanta,-,-,-,1,1,-,-,0,-,-,-,-,-,0,-,1,-,3
777,Emmanuel Rivière,Crotone,0,-,-,-,0,-,-,0,-,-,1,0,0,1,0,0,1,3
3821,Rolando Mandragora,Udinese,-,-,-,-,-,-,-,1,-,0,-,0,-,0,1,1,-,3
1370,Federico Ceccherini,Verona,-,-,-,0,0,0,0,0,0,1,-,0,0,0,0,1,1,3
4917,Niccolò Zanellato,Crotone,1,1,-,-,-,0,-,-,-,-,0,0,-,0,0,1,0,3
