id,name,team,1,2,total
1569,Valerio Verre,Sampdoria,0,0,0
1394,Lorenzo Tonelli,Sampdoria,0,0,0
1383,Manolo Gabbiadini,Sampdoria,-,0,0
1302,Emil Audero,Sampdoria,0,0,0
1146,Jakub Jankto,Sampdoria,0,0,0
952,Gastón Ramírez,Sampdoria,0,0,0
411,Albin Ekdal,Sampdoria,0,0,0
1485,Andrea Masiello,Genoa,-,0,0
7096,Omar Colley,Sampdoria,0,0,0
1230,Fabio Quagliarella,Sampdoria,0,0,0
8298,Lennart Czyborra,Genoa,0,-,0
6021,Lukas Lerager,Genoa,0,0,0
4970,Luca Pellegrini,Genoa,-,0,0
4959,Filippo Melegoni,Genoa,0,0,0
4937,Miha Zajc,Genoa,0,0,0
8914,Salvador Ferrer,Spezia,0,-,0
