id,name,team,1,2,3,4,5,6,total
8942,Aaron Hickey,Bologna,-,0.0,0.0,0.0,0.0468,0.0,0.0468
6942,Arthur,Juventus,-,0.0372,0.0,0.0095,0.0,-,0.0467
7013,Matteo Pessina,Atalanta,-,-,-,-,-,0.0421,0.0421
1313,Riccardo Saponara,Fiorentina,-,-,0.0413,-,-,-,0.0413
1334,Perparim Hetemaj,Benevento,0.0,0.0,0.0,0.0397,-,-,0.0397
1846,Luca Siligardi,Crotone,-,-,-,0.0111,-,0.0275,0.0386
1604,Artur Ionita,Benevento,0.0116,0.0,0.0,0.0261,0.0,0.0,0.0377
557,Matteo Darmian,Inter,-,-,-,-,0.0374,0.0,0.0374
308,Ricardo Rodríguez,Torino,-,-,0.0,0.036,0.0,-,0.036
505,David Ospina,Napoli,0.0,-,0.0341,-,0.0,-,0.0341
557,Matteo Darmian,Parma Calcio 1913,0.0,0.0,0.0341,-,-,0.0,0.0341
4917,Niccolò Zanellato,Crotone,0.0134,0.02,-,-,-,0.0,0.0334
3544,Jeremie Boga,Sassuolo,-,-,-,-,0.0,0.0328,0.0328
8165,Lucien Agoume,Spezia,-,-,-,-,0.0315,-,0.0315
4937,Miha Zajc,Genoa,0.0315,0.0,-,0.0,0.0,-,0.0315
7097,Ronaldo Vieira,Verona,-,-,-,0.031,0.0,-,0.031
1153,Ryder Matos,Udinese,-,0.0301,-,-,-,-,0.0301
1465,Stefano Sensi,Inter,0.0,0.0293,0.0,-,-,-,0.0293
265,Ragnar Klavan,Cagliari,0.0287,0.0,0.0,0.0,0.0,-,0.0287
2044,Daniele Verde,Spezia,-,0.0,0.0,0.0276,0.0,0.0,0.0276
1376,Kalidou Koulibaly,Napoli,0.0,0.0,0.0275,0.0,0.0,-,0.0275
3925,Gabriele Moncini,Benevento,0.0271,0.0,0.0,-,-,0.0,0.0271
8475,Bosko Sutalo,Atalanta,0.0,-,0.0,-,0.0,0.0269,0.0269
7092,Koray Günter,Verona,0.0,0.0,0.0265,-,-,0.0,0.0265
1892,Alex Meret,Napoli,-,0.0,-,0.0264,-,-,0.0264
542,Pedro Obiang,Sassuolo,0.0253,0.0,0.0,0.0,-,0.0,0.0253
2116,Felipe Caicedo,Lazio,0.0,0.0245,-,0.0,-,0.0,0.0245
7003,Mehdi Bourabia,Sassuolo,0.0,0.0,0.0,0.0239,0.0,0.0,0.0239
1133,Cristian Zapata,Genoa,0.0236,-,0.0,0.0,0.0,-,0.0236
6971,Mitchell Dijks,Bologna,0.0233,-,-,-,-,-,0.0233
1274,Andrea Rispoli,Crotone,0.0115,0.0,0.0,0.0113,0.0,0.0,0.0228
8912,Tommaso Pobega,Spezia,0.0,0.0,0.0,-,0.0227,0.0,0.0227
6460,Vincenzo Millico,Torino,0.0,0.0227,-,-,-,-,0.0227
1474,Alfred Duncan,Fiorentina,0.0222,-,0.0,-,-,0.0,0.0222
1203,Wesley Hoedt,Lazio,-,-,-,0.0203,0.0,0.0,0.0203
6997,Ignacio Pussetto,Udinese,-,-,-,0.0,0.0,0.0201,0.0201
6981,Ismael Bennacer,AC Milan,0.0,0.0,0.0,0.0,0.0199,0.0,0.0199
4939,Alessandro Bastoni,Inter,0.0195,-,0.0,-,0.0,-,0.0195
8870,Sam Lammers,Atalanta,0.0,0.0,0.0,0.0193,0.0,-,0.0193
1541,Stefan de Vrij,Inter,-,0.0,0.0,0.0,-,0.018,0.018
1580,Mattia Destro,Genoa,0.0,0.0173,-,-,-,-,0.0173
3340,Bryan Dabo,Benevento,0.0,0.0,0.0,0.0,0.0,0.0135,0.0135
6159,Gianluca Mancini,Roma,0.0129,0.0,0.0,0.0,0.0,0.0,0.0129
