id,name,team,1,2,3,4,5,6,7,8,9,total
8892,Josema,Elche,0.8704,0.0,0.1889,-,0.0,0.0752,0.0,-,-,1.1345
4091,Unai López,Athletic Club,0.1049,0.2096,0.0567,0.3156,0.0,0.2295,0.047,0.1693,-,1.1326
5081,Edu Expósito,Eibar,0.0737,0.6752,0.0666,0.1062,0.0,-,0.0,0.0875,0.1156,1.1248
2216,Jony,Osasuna,-,-,0.05,0.0966,0.3471,0.1202,0.1308,0.3778,-,1.1225
5090,David García,Osasuna,0.0,0.2735,0.022,0.0519,0.0,0.0213,0.6342,0.1095,-,1.1124
2189,Pedro López,SD Huesca,-,-,0.1416,0.0,-,-,-,-,0.9653,1.1069
7308,Ander Barrenetxea,Real Sociedad,0.1162,0.482,0.1986,0.1834,0.0,-,-,0.1247,-,1.1049
2253,Lucas Vázquez,Real Madrid,-,-,-,0.0,0.1892,0.1826,0.3123,0.4155,-,1.0996
8895,Tete Morente,Elche,0.0141,0.065,0.1168,0.6583,0.0,-,0.2432,-,-,1.0974
6117,Pere Pons,Alaves,0.0,0.0,0.288,0.1395,0.4387,0.2303,-,-,-,1.0965
1516,Geoffrey Kondogbia,Atletico Madrid,-,-,-,-,-,-,1.0956,-,-,1.0956
2328,Thomas Partey,Atletico Madrid,0.1381,0.6605,0.2921,-,-,-,-,-,-,1.0907
8750,Rodrigo Battaglia,Alaves,0.0,0.0,0.384,0.0,0.055,0.124,0.496,0.0,0.0,1.059
5153,Kévin Rodrigues,Eibar,-,0.0,0.1224,0.1814,0.4893,0.1663,0.017,0.0276,0.0515,1.0555
2212,Sergio Álvarez,Eibar,0.0,0.4987,-,0.1242,0.015,0.1231,0.0,0.2065,0.0747,1.0422
2075,Andrés Fernández,SD Huesca,0.2842,0.0,0.0864,0.0,0.0,0.0,0.0289,0.3363,0.3038,1.0396
7155,Nikola Vukcevic,Levante,0.0174,1.0213,0.0,0.0,-,-,-,-,-,1.0387
8433,José Manuel Fontán,Celta Vigo,-,-,-,0.0328,-,0.442,0.0724,0.487,-,1.0342
2435,Óscar Duarte,Levante,0.7211,-,0.0,-,-,0.0577,-,0.2398,-,1.0186
4219,Juan Carlos,SD Huesca,0.3911,0.086,0.0933,0.0,0.4459,-,-,-,0.0,1.0163
8107,Jorge De Frutos,Levante,0.0174,0.5911,0.0,0.1808,0.0517,0.0,0.0621,0.1045,-,1.0076
1227,Lucas Torreira,Atletico Madrid,-,-,-,0.4777,0.0,0.0772,0.4436,-,-,0.9985
7493,Jaime Seoane,SD Huesca,0.0,-,0.2474,0.1858,0.4115,0.0732,0.0763,-,-,0.9942
4208,Míchel,Real Valladolid,0.6374,0.0151,-,0.0844,-,-,-,0.2497,-,0.9866
5091,Alex Berenguer,Athletic Club,-,-,-,0.0418,0.3392,0.135,0.2594,0.2044,-,0.9798
2278,Giménez,Atletico Madrid,-,-,-,-,-,0.0758,0.9031,-,-,0.9789
7350,Yangel Herrera,Granada,0.4413,0.0,0.0725,0.206,0.0697,0.1198,0.0663,-,-,0.9756
2193,Cala,Cadiz,0.0442,0.0,0.4154,0.0,0.064,0.3708,0.0697,0.0,0.0099,0.974
4037,Pablo Insúa,SD Huesca,0.2842,-,-,-,0.1534,-,-,-,0.5355,0.9731
2586,Anaitz Arbilla,Eibar,-,-,0.0,0.0606,0.4743,0.0162,0.0887,0.3329,0.0,0.9727
8058,Thierry Correia,Valencia,-,0.0712,-,0.6895,0.0,0.0,0.1422,0.0644,-,0.9673
2368,Montoro,Granada,0.4045,0.4709,-,-,0.0576,0.0215,0.0,-,-,0.9545
2424,Óliver Torres,Sevilla,0.4627,0.0,0.0,-,0.2391,0.0,0.2458,-,-,0.9476
2460,Sergio Asenjo,Villarreal,0.1202,0.0498,0.0,0.0,0.0679,0.1327,0.5498,0.0266,0.0,0.947
2155,Jorge Molina,Granada,-,0.0,0.6706,0.1309,-,0.142,0.0,0.0,-,0.9435
1235,Ante Budimir,Osasuna,-,-,-,-,-,-,0.5901,0.3456,-,0.9357
6120,Bono,Sevilla,0.0328,0.0992,0.6648,0.0534,-,0.0,0.0804,-,-,0.9306
2479,Toni Lato,Valencia,-,-,-,0.0,-,-,0.7732,0.1484,0.0,0.9216
2194,Damián Suárez,Getafe,0.0,0.0,0.1303,0.0505,0.1123,0.1353,0.4868,-,-,0.9152
2132,Jota,Alaves,-,-,-,-,-,0.3118,0.5299,0.0641,-,0.9058
6228,Luka Jovic,Real Madrid,-,0.0758,0.6299,-,0.1937,-,-,0.0,-,0.8994
5682,Gonçalo Guedes,Valencia,0.3582,0.0,0.0577,-,0.3835,0.0972,0.0,-,-,0.8966
1950,Martín Montoya,Real Betis,-,-,0.0314,-,-,-,0.8638,-,-,0.8952
7306,Aihen Muñoz,Real Sociedad,0.0734,0.0767,0.1817,-,-,-,0.2335,0.2415,0.0809,0.8877
2229,Yuri,Athletic Club,-,0.2241,0.0552,0.0,-,0.0211,0.2805,0.2994,-,0.8803
6219,Enes Ünal,Getafe,0.0,0.202,-,0.0,0.1167,0.0,0.4805,0.0694,-,0.8686
