id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,total
5074,Kike García,Eibar,0.0941,0.1085,0.0,0.0,0.4743,0.0162,0.0,0.0,0.0,0.0,-,0.1631,-,0.8562
4054,Pablo Hervías,Real Valladolid,0.0,0.0113,0.1074,0.1469,0.0,-,-,0.1735,0.0,0.0342,0.0428,0.0118,0.3282,0.8561
2484,Iñigo Martínez,Athletic Club,0.1673,0.0,0.0934,0.0,0.1439,0.143,0.0856,0.1889,0.0334,0.0,-,-,-,0.8555
7493,Jaime Seoane,SD Huesca,0.0,-,0.1726,0.1193,0.4115,0.0732,0.0763,-,-,-,0.0,-,-,0.8529
1715,Álvaro Negredo,Cadiz,0.0958,0.0,0.3418,0.0,-,0.415,0.0,0.0,0.0,-,-,0.0,-,0.8526
2282,Sergi Gómez,Sevilla,0.7707,-,-,0.0704,0.0,-,-,-,-,-,-,-,-,0.8411
4136,Ángel,Getafe,0.0,0.2434,0.0943,0.0,-,0.1092,0.3757,0.0176,0.0,0.0,0.0,-,-,0.8402
6427,Aitor Ruibal,Real Betis,0.0616,-,-,0.0819,-,0.0276,-,-,0.0,0.0,-,0.6632,-,0.8343
7350,Yangel Herrera,Granada,0.0,0.0,0.0412,0.0611,0.012,0.1198,0.0,-,0.0,0.5304,0.0688,-,-,0.8333
2216,Jony,Osasuna,-,-,0.0,0.0,0.3471,0.0,0.0,0.2541,0.2248,0.0,-,-,-,0.826
2194,Damián Suárez,Getafe,0.0,0.0,0.1211,0.0,0.1123,0.1207,0.4701,-,0.0,0.0,-,-,-,0.8242
5073,Florian Lejeune,Alaves,-,0.0,0.2683,0.0793,0.0,0.2303,0.0713,0.0,-,0.1056,0.0673,0.0,-,0.8221
2361,Willian José,Real Sociedad,-,-,-,0.0,-,0.0,0.1353,0.2104,0.4334,0.0327,0.0,0.0,-,0.8118
2247,Nacho,Real Madrid,-,-,-,0.0328,0.1223,0.4554,-,-,0.0,0.1599,0.0411,-,-,0.8115
8725,Luis Milla,Granada,0.0,0.0,0.0,0.1172,0.0781,-,0.0,-,0.0657,0.5304,0.0186,-,-,0.81
7009,Jaime Mata,Getafe,0.0382,0.5738,0.0,0.0,0.0349,0.1207,0.0,0.0161,0.0243,0.0,0.0,-,-,0.808
802,Diego Costa,Atletico Madrid,0.35,0.0,0.0157,0.4135,-,-,-,0.023,-,-,-,-,-,0.8022
2479,Toni Lato,Valencia,-,-,-,0.0,-,-,0.7732,0.0,0.0,0.0,0.0,0.0242,-,0.7974
8771,Yunus Musah,Valencia,0.0759,0.0,0.0,0.0381,-,0.0,0.1351,0.1771,0.0291,0.2798,0.0618,0.0,-,0.7969
